,index,time,open,high,low,close,volume
0,33,2017-01-01 01:00:00,966.6,966.6,966.6,966.6,113.0922
1,65,2017-01-01 02:00:00,964.35,964.35,964.35,964.35,43.352315676
2,134,2017-01-01 04:00:00,960.61,960.61,960.6,960.6,10.717725532
3,166,2017-01-01 06:00:00,963.74,963.74,963.74,963.74,48.187
4,205,2017-01-01 09:00:00,964.98,964.98,964.98,964.98,42.190266922
5,272,2017-01-01 11:00:00,973.98,973.98,973.98,973.98,195.47826325
6,311,2017-01-01 12:00:00,975.0,975.0,975.0,975.0,1268.1825
7,344,2017-01-01 13:00:00,972.51,972.51,972.51,972.51,212.27144987
8,373,2017-01-01 14:00:00,974.1,974.1,974.1,974.1,350.676
9,405,2017-01-01 15:00:00,975.85,976.0,975.85,976.0,6323.7718643
10,443,2017-01-01 16:00:00,976.71,977.49,976.71,977.49,15292.909144
11,497,2017-01-01 17:00:00,992.98,993.0,992.98,993.0,3853.1803
12,601,2017-01-01 19:00:00,996.53,996.54,995.94,995.94,27950.70939
13,647,2017-01-01 20:00:00,996.01,996.01,996.0,996.0,996.00472528
14,703,2017-01-01 21:00:00,996.29,999.46,996.29,999.44,4113.4416004
15,757,2017-01-01 22:00:00,1002.99,1003.0,1002.99,1002.99,1627.6976564
16,841,2017-01-02 00:00:00,997.75,997.8,997.75,997.8,9197.7068194
17,916,2017-01-02 02:00:00,998.46,998.53,998.46,998.53,1266.0686731
18,963,2017-01-02 03:00:00,1004.99,1004.99,1004.76,1004.76,2813.627
19,1001,2017-01-02 04:00:00,1005.66,1005.66,1005.65,1005.66,3050.8638334
20,1044,2017-01-02 05:00:00,1005.48,1005.73,1005.48,1005.73,231.70176947
21,1203,2017-01-02 09:00:00,1006.49,1006.49,1006.06,1006.06,672.73398679
22,1249,2017-01-02 10:00:00,1014.99,1015.0,1014.99,1015.0,3518.3179495
23,1303,2017-01-02 11:00:00,1020.0,1020.0,1020.0,1020.0,1658.9415354
24,1357,2017-01-02 12:00:00,1024.92,1024.95,1024.92,1024.95,2653.8214992
25,1410,2017-01-02 13:00:00,1022.97,1023.3,1022.27,1023.3,1479.5401561
26,1465,2017-01-02 14:00:00,1015.41,1015.41,1015.41,1015.41,180.65377623
27,1574,2017-01-02 16:00:00,1026.65,1026.65,1025.73,1026.65,9334.5658567
28,1627,2017-01-02 17:00:00,1025.7,1025.7,1025.7,1025.7,2600.8753571
29,1681,2017-01-02 18:00:00,1022.0,1022.9,1022.0,1022.9,384.45356627
30,1741,2017-01-02 19:00:00,1012.94,1014.52,1010.35,1011.3,1846.4278405
31,1801,2017-01-02 20:00:00,1009.88,1009.88,1009.88,1009.88,1131.5826687
32,1858,2017-01-02 21:00:00,1014.07,1018.48,1014.07,1018.47,40029.897139
33,1913,2017-01-02 22:00:00,1012.0,1012.0,1012.0,1012.0,15.404664
34,1966,2017-01-02 23:00:00,1016.8,1016.8,1016.8,1016.8,168.41275686
35,2016,2017-01-03 00:00:00,1011.44,1012.02,1011.43,1012.02,1287.897103
36,2069,2017-01-03 01:00:00,1019.24,1019.26,1019.24,1019.26,3112.400946
37,2206,2017-01-03 04:00:00,1023.0,1023.5,1023.0,1023.5,1729.465
38,2246,2017-01-03 05:00:00,1023.59,1023.59,1023.03,1023.03,752.26547066
39,2290,2017-01-03 06:00:00,1020.06,1020.06,1020.06,1020.06,152.6417784
40,2334,2017-01-03 07:00:00,1012.96,1014.19,1012.74,1014.19,220.88446
41,2381,2017-01-03 08:00:00,1014.07,1014.08,1013.95,1013.95,608.57218807
42,2428,2017-01-03 09:00:00,1016.0,1016.0,1016.0,1016.0,2219.3020079
43,2483,2017-01-03 10:00:00,1017.87,1017.87,1016.99,1017.86,249.36586421
44,2536,2017-01-03 11:00:00,1020.28,1020.28,1020.0,1020.28,10807.23246
45,2586,2017-01-03 12:00:00,1023.49,1023.49,1023.49,1023.49,173.9933
46,2776,2017-01-03 16:00:00,1019.54,1019.54,1019.51,1019.51,2322.0720752
47,2824,2017-01-03 17:00:00,1020.32,1020.32,1020.32,1020.32,246.36619171
48,2865,2017-01-03 18:00:00,1019.88,1019.88,1019.88,1019.88,46.91448
49,2915,2017-01-03 19:00:00,1020.34,1021.0,1020.34,1021.0,57198.349733
50,2968,2017-01-03 20:00:00,1016.73,1016.73,1016.36,1016.73,4381.5665593
51,3027,2017-01-03 21:00:00,1017.81,1017.85,1017.77,1017.85,46.41292
52,3083,2017-01-03 22:00:00,1021.42,1021.45,1021.42,1021.45,385.96151871
53,3135,2017-01-03 23:00:00,1022.99,1022.99,1022.99,1022.99,138.30914823
54,3193,2017-01-04 00:00:00,1035.51,1035.74,1035.51,1035.74,1138.1740988
55,3243,2017-01-04 01:00:00,1032.04,1032.04,1032.04,1032.04,20.302951386
56,3334,2017-01-04 03:00:00,1036.86,1038.46,1036.81,1038.45,1939.1422742
57,3464,2017-01-04 06:00:00,1047.79,1047.79,1047.79,1047.79,293.32732264
58,3508,2017-01-04 07:00:00,1047.04,1047.04,1047.04,1047.04,1570.56
59,3560,2017-01-04 08:00:00,1055.97,1056.46,1055.97,1056.46,1046.3717425
60,3608,2017-01-04 09:00:00,1055.7,1055.7,1053.03,1053.03,24559.116191
61,3664,2017-01-04 10:00:00,1065.0,1065.0,1065.0,1065.0,2529.0400043
