,index,time,open,high,low,close,volume
0,0,2017-01-01 00:00:00,8.28,8.28,8.28,8.28,0.0
1,480,2017-01-01 08:00:00,8.51,8.51,8.51,8.51,0.0
2,720,2017-01-01 12:00:00,8.26,8.26,8.26,8.26,0.0
3,960,2017-01-01 16:00:00,8.26,8.26,8.26,8.26,0.0
4,1200,2017-01-01 20:00:00,8.44,8.44,8.44,8.44,0.0
5,1440,2017-01-02 00:00:00,8.24,8.24,8.24,8.24,0.0
6,1920,2017-01-02 08:00:00,8.17,8.17,8.17,8.17,0.0
7,2160,2017-01-02 12:00:00,8.21,8.21,8.21,8.21,0.0
8,2400,2017-01-02 16:00:00,8.25,8.25,8.25,8.25,0.0
9,2640,2017-01-02 20:00:00,8.42,8.42,8.42,8.42,0.0
10,2880,2017-01-03 00:00:00,8.55,8.55,8.55,8.55,0.0
11,3360,2017-01-03 08:00:00,8.4,8.4,8.4,8.4,0.0
12,3600,2017-01-03 12:00:00,8.55,8.55,8.55,8.55,0.0
13,3840,2017-01-03 16:00:00,9.25,9.25,9.25,9.25,33.82
14,4080,2017-01-03 20:00:00,9.89,9.89,9.82,9.83,12.49
15,4320,2017-01-04 00:00:00,9.75,9.75,9.75,9.75,0.0
16,4800,2017-01-04 08:00:00,10.6,10.6,10.6,10.6,0.0
17,5040,2017-01-04 12:00:00,10.75,10.75,10.75,10.75,0.0
18,5280,2017-01-04 16:00:00,10.89,10.89,10.89,10.89,0.0
19,5520,2017-01-04 20:00:00,10.85,10.85,10.85,10.85,0.0
20,5760,2017-01-05 00:00:00,11.21,11.21,11.21,11.21,0.0
21,6240,2017-01-05 08:00:00,11.81,11.81,11.81,11.81,0.0
22,6480,2017-01-05 12:00:00,11.17,11.17,11.17,11.17,0.0
23,6720,2017-01-05 16:00:00,10.4,10.4,10.4,10.4,0.5
24,6960,2017-01-05 20:00:00,9.83,9.83,9.83,9.83,0.0
25,7200,2017-01-06 00:00:00,10.34,10.34,10.34,10.34,0.0
26,7680,2017-01-06 08:00:00,10.29,10.29,10.29,10.29,0.0
27,7920,2017-01-06 12:00:00,9.87,9.87,9.87,9.87,0.0
28,8160,2017-01-06 16:00:00,10.21,10.21,10.2,10.21,48.88738628
29,8400,2017-01-06 20:00:00,10.21,10.21,10.21,10.21,0.0
30,8640,2017-01-07 00:00:00,10.2,10.2,10.2,10.2,0.0
31,9120,2017-01-07 08:00:00,9.44,9.44,9.44,9.44,0.0
32,9360,2017-01-07 12:00:00,9.72,9.72,9.72,9.72,0.0
33,9600,2017-01-07 16:00:00,9.96,9.96,9.96,9.96,0.0
34,9840,2017-01-07 20:00:00,10.02,10.02,10.02,10.02,0.0
35,10080,2017-01-08 00:00:00,10.05,10.05,10.05,10.05,0.0
